nohup: ignoring input
Preprocessing....
Loading data...
Model parameters:  17583594
Training....
[model]
num_layers = 4
num_heads = 8
d_model = 512
dff = 512
pe_input = 120
pe_target = 120
rate = 0.1
device = cuda:2

[data]
max_length = 100
batch_size = 512
on_full = True
full_data_path = /home/Zhouyu/MODEL/translate/ustpo_list.txt
250k_data_path = /home/Zhouyu/MODEL/translate/ustpo250k_list.txt
vocab_path = /home/Zhouyu/MODEL/translate/vocab.txt

[train]
epochs = 20
save_dir = /home/Zhouyu/MODEL/translate/save
save_name = /test17m.tar
print_trainstep_every = 100
teacher_forcing_ratio = 0.2

[optimizer]
lr = 0.0001
beta1 = 0.9
beta2 = 0.98
eps = 1e-9

[generate]
on = False
ckpt = /home/Zhouyu/MODEL/translate/save/test2passbig240m.tar
==================== 2024-02-29 20:39:11 ====================
Epoch 2 | Step 100 | Loss 1.1615 | Accuracy 0.5786
Epoch 2 | Step 200 | Loss 1.1355 | Accuracy 0.5872
Epoch 2 | Step 300 | Loss 1.1302 | Accuracy 0.5899
Epoch 2 | Step 400 | Loss 1.1299 | Accuracy 0.5909
Epoch 2 | Step 500 | Loss 1.1295 | Accuracy 0.5920
Epoch 2 | Step 600 | Loss 1.1323 | Accuracy 0.5920
Epoch 2 | Step 700 | Loss 1.1345 | Accuracy 0.5918
Epoch 2 | Step 800 | Loss 1.1382 | Accuracy 0.5912
Epoch 2 | Step 900 | Loss 1.1441 | Accuracy 0.5898
Epoch 2 | Step 1000 | Loss 1.1479 | Accuracy 0.5890
Epoch 2 | Step 1100 | Loss 1.1515 | Accuracy 0.5882
Epoch 2 | Step 1200 | Loss 1.1564 | Accuracy 0.5868
Epoch 2 | Step 1300 | Loss 1.1615 | Accuracy 0.5855
Epoch 2 | Step 1400 | Loss 1.1658 | Accuracy 0.5843
Epoch 2 | Step 1500 | Loss 1.1699 | Accuracy 0.5831
Epoch 2 | Step 1600 | Loss 1.1739 | Accuracy 0.5819
Epoch 2 | Step 1700 | Loss 1.1777 | Accuracy 0.5808
Epoch 2 | Step 1800 | Loss 1.1819 | Accuracy 0.5793
Epoch 2 | Step 1900 | Loss 1.1858 | Accuracy 0.5780
Epoch 2 | Step 2000 | Loss 1.1893 | Accuracy 0.5768
Epoch 2 | Step 2100 | Loss 1.1933 | Accuracy 0.5753
Epoch 2 | Step 2200 | Loss 1.1967 | Accuracy 0.5740
Epoch 2 | Step 2300 | Loss 1.1999 | Accuracy 0.5728
Epoch 2 | Step 2400 | Loss 1.2028 | Accuracy 0.5716
Epoch 2 | Step 2500 | Loss 1.2059 | Accuracy 0.5703
Epoch 2 | Step 2600 | Loss 1.2087 | Accuracy 0.5692
Epoch 2 | Step 2700 | Loss 1.2114 | Accuracy 0.5680
Epoch 2 | Step 2800 | Loss 1.2139 | Accuracy 0.5668
Epoch 2 | Step 2900 | Loss 1.2162 | Accuracy 0.5657
Epoch 2 | Step 3000 | Loss 1.2183 | Accuracy 0.5647
Epoch 2 | Step 3100 | Loss 1.2203 | Accuracy 0.5637
Epoch 2 | Step 3200 | Loss 1.2222 | Accuracy 0.5627
Epoch 2 | Step 3300 | Loss 1.2238 | Accuracy 0.5618
Epoch 2 | Step 3400 | Loss 1.2253 | Accuracy 0.5610
Epoch 2 | Step 3500 | Loss 1.2267 | Accuracy 0.5602
Epoch 2 | Step 3600 | Loss 1.2279 | Accuracy 0.5595
Epoch 2 | Step 3700 | Loss 1.2289 | Accuracy 0.5588
Epoch 2 | Step 3800 | Loss 1.2300 | Accuracy 0.5582
Epoch 2 | Step 3900 | Loss 1.2310 | Accuracy 0.5575
Epoch 2 | Step 4000 | Loss 1.2317 | Accuracy 0.5570
Epoch 2 | Step 4100 | Loss 1.2324 | Accuracy 0.5564
Epoch 2 | Step 4200 | Loss 1.2330 | Accuracy 0.5560
Epoch 2 | Step 4300 | Loss 1.2336 | Accuracy 0.5555
Epoch 2 | Step 4400 | Loss 1.2340 | Accuracy 0.5551
Epoch 2 | Step 4500 | Loss 1.2341 | Accuracy 0.5548
Epoch 2 | Step 4600 | Loss 1.2342 | Accuracy 0.5545
Epoch 2 | Step 4700 | Loss 1.2342 | Accuracy 0.5543
Epoch 2 | Step 4800 | Loss 1.2342 | Accuracy 0.5541
Epoch 2 | Step 4900 | Loss 1.2339 | Accuracy 0.5540
Epoch 2 | Step 5000 | Loss 1.2335 | Accuracy 0.5539
Epoch 2 | Step 5100 | Loss 1.2332 | Accuracy 0.5538
Epoch 2 | Step 5200 | Loss 1.2327 | Accuracy 0.5538
Epoch 2 | Step 5300 | Loss 1.2321 | Accuracy 0.5538
Epoch 2 | Step 5400 | Loss 1.2316 | Accuracy 0.5539
Epoch 2 | Step 5500 | Loss 1.2312 | Accuracy 0.5539
Epoch 2 | Step 5600 | Loss 1.2305 | Accuracy 0.5540
Epoch 2 | Step 5700 | Loss 1.2299 | Accuracy 0.5542
Epoch 2 | Step 5800 | Loss 1.2292 | Accuracy 0.5543
Epoch 2 | Step 5900 | Loss 1.2285 | Accuracy 0.5545
Epoch 2 | Step 6000 | Loss 1.2277 | Accuracy 0.5547
Epoch 2 | Step 6100 | Loss 1.2271 | Accuracy 0.5549
